Distribuzione;M_Tabelle;N_Utenti;p;Runs;Throughput;Wait_Time;Avg_Util_%;Max_Util_%;Max_Queue
Uniform;10;3000;0,5;5;133,38;486,8624;100,0;100,0;17192,0
Uniform;10;3500;0,5;5;133,38;902,121;100,0;100,0;42244,0
Uniform;10;4000;0,5;5;133,38;1107,5481;100,0;100,0;67325,0
Uniform;10;5000;0,5;5;133,38;1242,2878;100,0;100,0;117328,0
Uniform;10;100;0,8;5;5,01;0,1009;4,93;5,07;2,0
Uniform;10;500;0,8;5;24,99;0,1053;23,04;23,19;5,0
Uniform;10;1000;0,8;5;49,94;0,1124;42,29;42,56;7,0
Uniform;10;1200;0,8;5;59,91;0,116;48,97;49,24;8,0
Uniform;10;1500;0,8;5;74,88;0,1222;57,95;58,18;11,0
Uniform;10;1600;0,8;5;79,88;0,1245;60,69;60,94;12,0
Uniform;10;2000;0,8;5;99,86;0,1355;70,32;70,59;15,0
Uniform;10;2500;0,8;5;124,85;0,154;79,71;79,89;22,0
Uniform;10;3000;0,8;5;149,86;0,1804;86,65;86,84;30,0
Uniform;10;3500;0,8;5;174,88;0,221;91,6;91,76;41,0
Uniform;10;4000;0,8;5;199,88;0,2881;95,05;95,18;62,0
Uniform;10;5000;0,8;5;249,89;0,7976;98,93;99,01;180,0
Uniform;20;100;0,3;5;4,99;0,1012;2,49;2,57;2,0
Uniform;20;500;0,3;5;24,98;0,1064;12,42;12,62;4,0
Uniform;20;1000;0,3;5;49,91;0,1147;24,65;24,95;6,0
Uniform;20;1200;0,3;5;59,88;0,1188;29,48;29,81;7,0
Uniform;20;1500;0,3;5;74,85;0,126;36,68;37,02;8,0
Uniform;20;1600;0,3;5;79,85;0,1288;39,07;39,44;8,0
Uniform;20;2000;0,3;5;99,81;0,1421;48,5;48,95;10,0
Uniform;20;2500;0,3;5;124,81;0,1668;60,05;60,56;13,0
Uniform;20;3000;0,3;5;149,79;0,2094;71,24;71,76;20,0
